"filename", "language", "PHP", "XML", "JavaScript", "JSON", "Markdown", "PostCSS", "comment", "blank", "total"
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/profile/partials/delete-user-form.blade.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 11, 56
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/profile/partials/update-password-form.blade.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 8, 49
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/profile/partials/update-profile-information-form.blade.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 11, 65
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/profile/show.blade.php", "PHP", 289, 0, 0, 0, 0, 0, 0, 32, 321
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/quiz/show.blade.php", "PHP", 193, 0, 0, 0, 0, 0, 15, 26, 234
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/recommendations/homepage.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/recommendations/similar.blade.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/reviews/index.blade.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 10, 119
"/home/teod0r/Documents/Uni/kvalis/movie-platform/resources/views/reviews/show.blade.php", "PHP", 196, 0, 0, 0, 0, 0, 0, 16, 212
"/home/teod0r/Documents/Uni/kvalis/movie-platform/routes/api.php", "PHP", 4, 0, 0, 0, 0, 0, 17, 9, 30
"/home/teod0r/Documents/Uni/kvalis/movie-platform/routes/auth.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 17, 60
"/home/teod0r/Documents/Uni/kvalis/movie-platform/routes/console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 3, 9
"/home/teod0r/Documents/Uni/kvalis/movie-platform/routes/web.php", "PHP", 56, 0, 0, 0, 0, 0, 6, 23, 85
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tailwind.config.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 4, 22
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Feature/Auth/AuthenticationTest.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 13, 42
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Feature/Auth/EmailVerificationTest.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 14, 47
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Feature/Auth/PasswordConfirmationTest.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 11, 33
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Feature/Auth/PasswordResetTest.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 20, 61
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Feature/Auth/PasswordUpdateTest.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 9, 41
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Feature/Auth/RegistrationTest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 5, 20
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Feature/ExampleTest.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 3, 8
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Feature/ProfileTest.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 22, 86
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Pest.php", "PHP", 10, 0, 0, 0, 0, 0, 31, 7, 48
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 4, 11
"/home/teod0r/Documents/Uni/kvalis/movie-platform/tests/Unit/ExampleTest.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 2, 6
"/home/teod0r/Documents/Uni/kvalis/movie-platform/vite.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"Total", "-", 7564, 35, 40, 15547, 40, 3, 1073, 1627, 25929
